epochs,hidden,final_loss,games_played,sub_optimal_games,train_file,play_file
50,32,2.047088,1011,921,train.e50.h32.txt,play.e50.h32.txt
50,64,2.048824,968,877,train.e50.h64.txt,play.e50.h64.txt
50,128,2.049054,912,834,train.e50.h128.txt,play.e50.h128.txt
50,256,2.050342,928,856,train.e50.h256.txt,play.e50.h256.txt
100,32,2.046577,996,920,train.e100.h32.txt,play.e100.h32.txt
100,64,2.047176,1019,936,train.e100.h64.txt,play.e100.h64.txt
100,128,2.048675,988,923,train.e100.h128.txt,play.e100.h128.txt
100,256,2.049124,982,895,train.e100.h256.txt,play.e100.h256.txt
150,32,2.046228,982,908,train.e150.h32.txt,play.e150.h32.txt
150,64,2.047074,933,859,train.e150.h64.txt,play.e150.h64.txt
150,128,2.048067,1029,933,train.e150.h128.txt,play.e150.h128.txt
150,256,2.04802,1049,941,train.e150.h256.txt,play.e150.h256.txt
200,32,2.046319,1011,935,train.e200.h32.txt,play.e200.h32.txt
200,64,2.04677,1008,930,train.e200.h64.txt,play.e200.h64.txt
200,128,2.047218,1011,921,train.e200.h128.txt,play.e200.h128.txt
200,256,2.046906,942,870,train.e200.h256.txt,play.e200.h256.txt
250,32,2.04564,1000,928,train.e250.h32.txt,play.e250.h32.txt
250,64,2.046236,1004,932,train.e250.h64.txt,play.e250.h64.txt
250,128,2.046761,1007,918,train.e250.h128.txt,play.e250.h128.txt
250,256,2.046887,998,930,train.e250.h256.txt,play.e250.h256.txt
300,32,2.045884,972,888,train.e300.h32.txt,play.e300.h32.txt
300,64,2.045872,972,899,train.e300.h64.txt,play.e300.h64.txt
300,128,2.046082,996,928,train.e300.h128.txt,play.e300.h128.txt
300,256,2.048689,974,905,train.e300.h256.txt,play.e300.h256.txt
350,32,2.045815,996,920,train.e350.h32.txt,play.e350.h32.txt
350,64,2.046031,990,923,train.e350.h64.txt,play.e350.h64.txt
350,128,2.047077,1023,955,train.e350.h128.txt,play.e350.h128.txt
350,256,2.046073,1013,940,train.e350.h256.txt,play.e350.h256.txt
400,32,2.045556,977,888,train.e400.h32.txt,play.e400.h32.txt
400,64,2.045976,1002,929,train.e400.h64.txt,play.e400.h64.txt
400,128,2.046056,1015,932,train.e400.h128.txt,play.e400.h128.txt
400,256,2.045821,952,878,train.e400.h256.txt,play.e400.h256.txt
