run,epochs,hidden,final_loss,training_time_seconds,games_played,sub_optimal_games,train_file,play_file
root,50,32,2.049024,7.394,954,883,train.e50.h32.txt,play.e50.h32.txt
root,50,64,2.049113,6.532,1009,916,train.e50.h64.txt,play.e50.h64.txt
root,50,128,2.050481,8.71,1015,914,train.e50.h128.txt,play.e50.h128.txt
root,50,256,2.052454,11.008,1063,939,train.e50.h256.txt,play.e50.h256.txt
root,100,32,2.047037,6.974,1009,910,train.e100.h32.txt,play.e100.h32.txt
root,100,64,2.047891,5.574,1027,922,train.e100.h64.txt,play.e100.h64.txt
root,100,128,2.048307,17.485,916,830,train.e100.h128.txt,play.e100.h128.txt
root,100,256,2.050349,10.723,1035,939,train.e100.h256.txt,play.e100.h256.txt
root,150,32,2.047548,22.148,1027,923,train.e150.h32.txt,play.e150.h32.txt
root,150,64,2.047633,7.908,1027,922,train.e150.h64.txt,play.e150.h64.txt
root,150,128,2.04836,9.226,1060,973,train.e150.h128.txt,play.e150.h128.txt
root,150,256,2.047436,26.988,994,911,train.e150.h256.txt,play.e150.h256.txt
root,200,32,2.046798,9.368,988,903,train.e200.h32.txt,play.e200.h32.txt
root,200,64,2.047718,16.425,997,908,train.e200.h64.txt,play.e200.h64.txt
root,200,128,2.046995,34.42,972,881,train.e200.h128.txt,play.e200.h128.txt
root,200,256,2.047275,23.058,1005,917,train.e200.h256.txt,play.e200.h256.txt
root,250,32,2.046655,11.478,1002,923,train.e250.h32.txt,play.e250.h32.txt
root,250,64,2.047403,13.084,1015,913,train.e250.h64.txt,play.e250.h64.txt
root,250,128,2.047212,43.304,1005,917,train.e250.h128.txt,play.e250.h128.txt
root,250,256,2.048166,40.819,1054,960,train.e250.h256.txt,play.e250.h256.txt
root,300,32,2.04652,44.16,1031,924,train.e300.h32.txt,play.e300.h32.txt
root,300,64,2.046696,46.636,969,883,train.e300.h64.txt,play.e300.h64.txt
root,300,128,2.047371,19.05,953,854,train.e300.h128.txt,play.e300.h128.txt
root,300,256,2.046873,64.592,1005,915,train.e300.h256.txt,play.e300.h256.txt
root,350,32,2.047017,16.136,999,923,train.e350.h32.txt,play.e350.h32.txt
root,350,64,2.046865,54.415,1005,915,train.e350.h64.txt,play.e350.h64.txt
root,350,128,2.046863,21.905,1019,915,train.e350.h128.txt,play.e350.h128.txt
root,350,256,2.04679,76.768,1008,923,train.e350.h256.txt,play.e350.h256.txt
root,400,32,2.046061,59.368,1000,930,train.e400.h32.txt,play.e400.h32.txt
root,400,64,2.046562,61.573,969,883,train.e400.h64.txt,play.e400.h64.txt
root,400,128,2.046617,69.481,953,867,train.e400.h128.txt,play.e400.h128.txt
root,400,256,2.046151,45.784,932,862,train.e400.h256.txt,play.e400.h256.txt
