run,hidden,epochs,epoch_loss,training_time_seconds,games_played,sub_optimal_games,train_file,play_file
root,32,50,0.631408,4.917,668,550,train.h32.txt,play.h32.e50.txt
root,32,100,0.460059,9.838,675,528,train.h32.txt,play.h32.e100.txt
root,32,150,0.413641,14.75,686,522,train.h32.txt,play.h32.e150.txt
root,32,200,0.389909,19.654,682,518,train.h32.txt,play.h32.e200.txt
root,32,250,0.372119,24.564,693,457,train.h32.txt,play.h32.e250.txt
root,32,300,0.358625,29.478,693,454,train.h32.txt,play.h32.e300.txt
root,32,350,0.347552,34.387,693,460,train.h32.txt,play.h32.e350.txt
root,32,400,0.33807,39.298,706,442,train.h32.txt,play.h32.e400.txt
root,64,50,0.424014,1.831,635,498,train.h64.txt,play.h64.e50.txt
root,64,100,0.344742,3.583,704,546,train.h64.txt,play.h64.e100.txt
root,64,150,0.308553,5.39,721,520,train.h64.txt,play.h64.e150.txt
root,64,200,0.283342,7.18,712,455,train.h64.txt,play.h64.e200.txt
root,64,250,0.265907,8.895,720,409,train.h64.txt,play.h64.e250.txt
root,64,300,0.25126,10.753,719,387,train.h64.txt,play.h64.e300.txt
root,64,350,0.239696,12.476,746,389,train.h64.txt,play.h64.e350.txt
root,64,400,0.22943,14.276,747,391,train.h64.txt,play.h64.e400.txt
root,128,50,0.354179,1.8,670,507,train.h128.txt,play.h128.e50.txt
root,128,100,0.286998,3.604,696,512,train.h128.txt,play.h128.e100.txt
root,128,150,0.247596,5.359,713,500,train.h128.txt,play.h128.e150.txt
root,128,200,0.216812,7.131,734,452,train.h128.txt,play.h128.e200.txt
root,128,250,0.191792,8.908,751,360,train.h128.txt,play.h128.e250.txt
root,128,300,0.172274,10.678,751,332,train.h128.txt,play.h128.e300.txt
root,128,350,0.154445,12.449,721,326,train.h128.txt,play.h128.e350.txt
root,128,400,0.13877,14.354,749,326,train.h128.txt,play.h128.e400.txt
root,256,50,0.315408,2.001,725,538,train.h256.txt,play.h256.e50.txt
root,256,100,0.242842,4.035,757,411,train.h256.txt,play.h256.e100.txt
root,256,150,0.193255,6.057,753,362,train.h256.txt,play.h256.e150.txt
root,256,200,0.155422,8.106,765,351,train.h256.txt,play.h256.e200.txt
root,256,250,0.124966,10.068,745,313,train.h256.txt,play.h256.e250.txt
root,256,300,0.099887,12.021,748,290,train.h256.txt,play.h256.e300.txt
root,256,350,0.076101,13.968,789,247,train.h256.txt,play.h256.e350.txt
root,256,400,0.057757,15.937,796,162,train.h256.txt,play.h256.e400.txt
