run,hidden,epochs,epoch_loss,training_time_seconds,games_played,sub_optimal_games,train_file,play_file
root,32,50,2.047277,1.847,1027,930,train.h32.txt,play.h32.e50.txt
root,32,100,2.047138,3.704,947,870,train.h32.txt,play.h32.e100.txt
root,32,150,2.046719,5.564,980,893,train.h32.txt,play.h32.e150.txt
root,32,200,2.046488,7.428,942,867,train.h32.txt,play.h32.e200.txt
root,32,250,2.046346,9.305,988,911,train.h32.txt,play.h32.e250.txt
root,32,300,2.046184,11.16,976,902,train.h32.txt,play.h32.e300.txt
root,32,350,2.046016,13.019,982,908,train.h32.txt,play.h32.e350.txt
root,32,400,2.045912,14.874,953,877,train.h32.txt,play.h32.e400.txt
root,64,50,2.048448,2.015,913,843,train.h64.txt,play.h64.e50.txt
root,64,100,2.04815,4.037,938,872,train.h64.txt,play.h64.e100.txt
root,64,150,2.04749,6.065,962,888,train.h64.txt,play.h64.e150.txt
root,64,200,2.047177,8.046,994,917,train.h64.txt,play.h64.e200.txt
root,64,250,2.046424,10.005,975,885,train.h64.txt,play.h64.e250.txt
root,64,300,2.045848,11.98,989,916,train.h64.txt,play.h64.e300.txt
root,64,350,2.045714,13.987,998,921,train.h64.txt,play.h64.e350.txt
root,64,400,2.045619,15.967,998,925,train.h64.txt,play.h64.e400.txt
root,128,50,2.050419,6.289,902,829,train.h128.txt,play.h128.e50.txt
root,128,100,2.047895,12.604,999,909,train.h128.txt,play.h128.e100.txt
root,128,150,2.047579,18.928,1013,927,train.h128.txt,play.h128.e150.txt
root,128,200,2.047297,25.22,990,923,train.h128.txt,play.h128.e200.txt
root,128,250,2.046627,31.527,1065,953,train.h128.txt,play.h128.e250.txt
root,128,300,2.046044,37.825,932,845,train.h128.txt,play.h128.e300.txt
root,128,350,2.0457,44.121,1000,932,train.h128.txt,play.h128.e350.txt
root,128,400,2.045772,50.409,1002,929,train.h128.txt,play.h128.e400.txt
root,256,50,2.050166,3.206,1031,936,train.h256.txt,play.h256.e50.txt
root,256,100,2.050119,6.395,958,850,train.h256.txt,play.h256.e100.txt
root,256,150,2.048708,9.675,974,898,train.h256.txt,play.h256.e150.txt
root,256,200,2.04763,12.966,982,901,train.h256.txt,play.h256.e200.txt
root,256,250,2.046848,16.179,966,874,train.h256.txt,play.h256.e250.txt
root,256,300,2.047167,19.378,994,928,train.h256.txt,play.h256.e300.txt
root,256,350,2.046325,22.572,959,882,train.h256.txt,play.h256.e350.txt
root,256,400,2.048305,25.742,1021,930,train.h256.txt,play.h256.e400.txt
